,DEP_DELAY,DEP_DELAY,DEP_DELAY,DEP_DELAY,DEP_DELAY,ARR_DELAY,ARR_DELAY,ARR_DELAY,ARR_DELAY,ARR_DELAY
,min,max,mean,std,sum,min,max,mean,std,sum
ORG_AIR,,,,,,,,,,
ATL,-18.0,702.0,9.267446356079644,32.07870784412224,95881.0,-57.0,692.0,2.9599728629579376,34.219669739943846,30541.0
DEN,-18.0,1194.0,11.052586206896551,37.43042280468689,64105.0,-44.0,1185.0,6.432768752160388,39.481002832034164,37220.0
DFW,-16.0,852.0,11.59302995391705,38.38991999810257,80502.0,-45.0,839.0,7.035703960682278,41.062388280024145,48673.0
IAH,-17.0,835.0,11.821254920120397,39.2829252831891,51056.0,-47.0,858.0,7.437747265534093,40.753990097786605,31960.0
LAS,-21.0,751.0,10.792155883087684,37.00254956197799,43201.0,-52.0,732.0,6.1715145436308925,38.93308326054593,24612.0
LAX,-24.0,746.0,10.961690431197388,35.37292841666941,63808.0,-58.0,725.0,6.2069559228650135,37.59580205988941,36050.0
MSP,-17.0,461.0,7.206255532605488,31.10674402795748,24422.0,-53.0,474.0,1.5346153846153847,33.700326855780574,5187.0
ORD,-16.0,511.0,14.760098219766729,41.30329686615736,120221.0,-52.0,531.0,9.594504682109413,44.54676596530679,77869.0
PHX,-22.0,555.0,8.502840909090908,29.030603648763904,38909.0,-60.0,551.0,4.074983556237667,30.81683421395072,18586.0
SFO,-20.0,684.0,11.028730305838739,36.18304961388481,47600.0,-51.0,682.0,5.42980009298001,37.59533274652326,23359.0
